Vyhodnocováno skriptem: FortyThree.py 
 
Vstupní parametry: 
Faktor šírky píku = 1 
Pocet iterací pri vyhlazování pozadí = 8  
Byl použit 4. typ vyhlazování pozadí. 
Spektrum nebylo vyhlazováno. 
 
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 2465.52
 
Energie (keV)                Plocha (-)                Reakce                   Intenzita(%)                 Isotop                    Polocas (s)
   493.969323                 36.243864                   -                           -                         -                           -  
   495.751214                 16.167890                   -                           -                         -                           -  
   498.127068                 15.167075                   -                           -                         -                           -  
   500.502923                  3.881127                  n,4n                       0.0072                     194Au                  136872.0 
   502.878778                  9.531817                   -                           -                         -                           -  
   504.660669                 27.857162                   -                           -                         -                           -  
   507.630487                 -7.895057                  n,5n                       0.0510                     193Au                   63540.0 
   508.818415                 38.923870                  n,5n                       0.0510                     193Au                   63540.0 
   511.194269                287.590537                  n,4n                       3.4000                     194Au                  136872.0 
   517.727870                  2.783232                   -                           -                         -                           -  
   520.697688                 32.935452                  n,2n                       0.3890                     196Au                 532820.16 
   522.479579                 46.829479                  n,5n                       0.0680                     193Au                   63540.0 
   524.261470                  1.307643                   -                           -                         -                           -  
   526.637325                 -7.453008                   -                           -                         -                           -  
   528.419216                 48.182331                  n,4n                       1.7270                     194Au                  136872.0 
   530.201107                 24.005221                   n,a                       0.0159                     194Ir                   69408.0 
   532.576962                  4.026047                   -                           -                         -                           -  
   533.764889                 32.786460                   -                           -                         -                           -  
   536.140744                 12.012539                   -                           -                         -                           -  
   537.922635                 10.226402                   -                           -                         -                           -  
   540.892454                 27.097029                   -                           -                         -                           -  
   542.080381                 27.469600                   -                           -                         -                           -  
   545.050199                 36.441499                  n,4n                       0.0310                     194Au                  136872.0 
   548.613981                  7.614705                   -                           -                         -                           -  
   550.989836                 32.482679                   -                           -                         -                           -  
   552.177764                 -0.640293                   -                           -                         -                           -  
   555.147582                 18.701779                   -                           -                         -                           -  
   556.335509                 20.336264                   -                           -                         -                           -  
   558.711364                 23.414233                   -                           -                         -                           -  
   561.087219                 10.037363                   -                           -                         -                           -  
   564.057037                 20.825536                   -                           -                         -                           -  
   565.244965                 -3.588441                   -                           -                         -                           -  
   567.026856                  8.914964                   -                           -                         -                           -  
   568.808747                  8.138321                   -                           -                         -                           -  
   570.590638                 21.379440                  n,2n                       0.0069                     196Au                 532820.16 
   572.372529                  9.924522                   -                           -                         -                           -  
   574.748384                  2.505123                   -                           -                         -                           -  
   576.530275                 -3.720515                   -                           -                         -                           -  
   578.906129                 14.204273                   -                           -                         -                           -  
   581.281984                  5.254212                   -                           -                         -                           -  
   583.657839                267.665296                   -                           -                         -                           -  
   586.627657                  8.100470                   -                           -                         -                           -  
   589.597476                 17.377007                   n,a                       0.1400                     194Ir                   69408.0 
   591.973330                 23.419702                   -                           -                         -                           -  
   594.349185                 19.523371                   n,a                       0.0620                     194Ir                   69408.0 
   595.537112                  7.841124                   -                           -                         -                           -  
   597.319003                  1.598577                   -                           -                         -                           -  
   599.694858                 10.445310                   -                           -                         -                           -  
   601.476749                 16.259548                  n,4n                       0.0180                     194Au                  136872.0 
   603.258640                 22.197627                   -                           -                         -                           -  
   605.040531                  8.500344                   -                           -                         -                           -  
   609.198277                459.868823                   -                           -                         -                           -  
   611.574132                 18.532011                   -                           -                         -                           -  
   613.356023                  4.177337                   -                           -                         -                           -  
   616.325841                 19.885525                   -                           -                         -                           -  
   617.513769                 14.827599                   -                           -                         -                           -  
   622.265478                 56.024318                   n,a                       0.0096                     194Ir                   69408.0 
   623.453405                  9.230328                   -                           -                         -                           -  
   626.423224                 28.132332                   -                           -                         -                           -  
   628.799079                  7.361469                   -                           -                         -                           -  
   630.580970                 10.898267                   -                           -                         -                           -  
   632.956824                 19.897340                   -                           -                         -                           -  
   635.332679                  6.951659                   -                           -                         -                           -  
   638.302498                 33.479283                   -                           -                         -                           -  
   640.084389                 12.324893                   -                           -                         -                           -  
   642.460243                 16.553765                   -                           -                         -                           -  
   644.836098                 46.813877                   n,a                       1.1800                     194Ir                   69408.0 
   647.805916                  9.839307                   -                           -                         -                           -  
   650.181771                 16.240655                   -                           -                         -                           -  
   651.963662                  0.574738                   -                           -                         -                           -  
   653.151590                  8.413802                   -                           -                         -                           -  
   654.933481                 23.891629                   -                           -                         -                           -  
   657.309335                 -1.361429                   -                           -                         -                           -  
   660.279154                  9.987959                  n,2n                       0.0037                     196Au                 532820.16 
   661.467081                 30.771980                   -                           -                         -                           -  
   665.624827                  8.813774                   -                           -                         -                           -  
   666.812754                 17.382369                   -                           -                         -                           -  
   668.594645                  1.127456                  n,4n                       0.1090                     194Au                  136872.0 
   671.564464                -18.635852                   -                           -                         -                           -  
