Přírodní isotopické složení: 100% 197Au,,,,,,,,,,,,,,,,,,,,,,
M=,196.966569,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Id,Reakce,Prah (keV),Isotop,Poločas (d),Poločas (s),Chyba T1/2 (d),Chyba T1/2 (s),Lambda,Energie (keV),Chyba energie (keV),Intenzita (%),Chyba intenzity (%),S (plocha peaku),Chyba plochy (%),Abs. Chyba plochy,Efektivita,Nr,Rr,Chyba Rr,A,Rr/Chyba Rr,Column 1/Chyba Rr
122,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,338.8,0.2,55,3,,,,,,,,,,
10,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,355.684,0.002,87,0,,,,,,,,,,
61,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,364.867,0.014,1.51,0.09,,,,,,,,,,
82,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,377.1,0.3,0.47,0.06,,,,,,,,,,
85,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,387.6,0.9,0.35,0.04,,,,,,,,,,
123,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,391,0.002,35,2,,,,,,,,,,
17,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,393.346,0.007,0.0101,0.0005,,,,,,,,,,
99,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,401.3,0.3,0.105,0.024,,,,,,,,,,
96,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,408.4,0.2,0.122,0.024,,,,,,,,,,
1,(n>g),0,198Au,2.69517,232862.688,0,0,2.97663479930261E-06,411.80205,0.00017,96,0,,,,,,,,,,
95,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,424.76,0.12,0.14,0.03,,,,,,,,,,
12,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,426,0.1,7,0,,,,,,,,,,
19,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,431.982,0.024,0.0067,0.0006,,,,,,,,,,
83,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,437.41,0.08,0.46,0.08,,,,,,,,,,
73,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,439.04,0.08,1.78,0.14,,,,,,,,,,
84,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,476.98,0.09,0.43,0.08,,,,,,,,,,
97,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,478.4,1.5,0.11,0.03,,,,,,,,,,
65,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,482.833,0.022,1.13,0.06,,,,,,,,,,
118,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,482.833,0.022,97,5,,,,,,,,,,
91,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,489.61,0.12,0.22,0.04,,,,,,,,,,
78,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,491.28,0.12,0.65,0.11,,,,,,,,,,
13,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,521.175,0.005,0.389,0.009,,,,,,,,,,
60,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,528.76,0.1,1.65,0.18,,,,,,,,,,
124,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,562.5,0.1,35,2,,,,,,,,,,
125,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,562.64,0.08,35,2,,,,,,,,,,
